customer_id,customer_name,city,country,latitude,longitude,channel,sub_channel
1,"Zieme, Doyle and Kunze",Lublin,Poland,51.2333,22.5667,Hospital,Private
2,Feest PLC,Świecie,Poland,53.4167,18.4333,Pharmacy,Retail
3,Medhurst-Beer Pharmaceutical Limited,Rybnik,Poland,50.0833,18.5,Pharmacy,Institution
4,Barton Ltd Pharma Plc,Czeladź,Poland,50.3333,19.0833,Hospital,Private
5,Keeling LLC Pharmacy,Olsztyn,Poland,53.78,20.4942,Pharmacy,Retail
6,Runte-Marquardt Pharmaceutical Ltd,Olecko,Poland,54.0333,22.5,Hospital,Private
7,"Blick, Pacocha and Schowalter",Inowrocław,Poland,52.7958,18.2611,Pharmacy,Retail
8,Leuschke PLC Pharmacy,Ciechanów,Poland,52.8817,20.6106,Pharmacy,Retail
9,Miller-Satterfield Pharma Plc,Nidzica,Poland,53.3583,20.425,Hospital,Private
10,Bashirian-Kassulke Pharma Plc,Kraków,Poland,50.0614,19.9372,Hospital,Private
11,Wolff Group Pharm,Gubin,Poland,51.95,14.7333,Hospital,Government
12,"Denesik, Walter and Beatty Pharma Plc",Ostrów Mazowiecka,Poland,52.8,21.9,Pharmacy,Institution
13,Breitenberg-Kuhn Pharmacy,Radom,Poland,51.4036,21.1567,Hospital,Private
14,"McClure, Zemlak and Dibbert Pharma Plc",Gdańsk,Poland,54.3667,18.6333,Pharmacy,Retail
15,Block-Romaguera Pharmaceutical Limited,Tarnowskie Góry,Poland,50.45,18.8667,Hospital,Private
16,"Hahn, Rutherford and Gislason Pharmaceutical Limited",Łaziska Górne,Poland,50.15,18.8333,Hospital,Private
17,D'Amore and Sons,Wągrowiec,Poland,52.8,17.2,Hospital,Private
18,Koss Ltd Pharmaceutical Limited,Lwówek Śląski,Poland,51.1167,15.5833,Hospital,Private
19,Fadel-West,Złotoryja,Poland,51.1264,15.9198,Pharmacy,Institution
20,Lindgren-Simonis Pharm,Biskupiec,Poland,53.8647,20.9569,Pharmacy,Retail
21,"Spinka, Schowalter and Conn Pharmaceutical Limited",Biłgoraj,Poland,50.55,22.7333,Pharmacy,Institution
22,Will and Sons Pharma Plc,Gniew,Poland,53.8333,18.8333,Pharmacy,Retail
23,Jakubowski Inc Pharmaceutical Limited,Bolesławiec,Poland,51.2667,15.5667,Pharmacy,Retail
24,Schaden-Hirthe Pharmaceutical Ltd,Świdnica,Poland,50.8438,16.4886,Pharmacy,Institution
25,Mraz Group Pharmacy,Piastów,Poland,52.1833,20.85,Hospital,Private
26,Nader-Gaylord Pharmaceutical Ltd,Łódź,Poland,51.7769,19.4547,Pharmacy,Retail
27,Heidenreich Group Pharmaceutical Ltd,Rzeszów,Poland,50.05,22.0,Pharmacy,Institution
28,Mante-Grady Pharm,Lubaczów,Poland,50.1556,23.123,Pharmacy,Institution
29,Feest-Kshlerin Pharmaceutical Ltd,Świdnik,Poland,51.2333,22.7,Pharmacy,Institution
30,"Leuschke, Waters and Schowalter Pharmaceutical Ltd",Krapkowice,Poland,50.4751,17.9654,Pharmacy,Institution
31,"Hirthe, Williamson and Macejkovic Pharma Plc",Brzeg,Poland,50.8667,17.4833,Hospital,Government
32,Emard-O'Connell Pharmacy,Zakopane,Poland,49.2994,19.9519,Pharmacy,Retail
33,Carter-Conn Pharma Plc,Brwinów,Poland,52.1417,20.7167,Hospital,Private
34,"Heathcote, Grant and Witting Pharm",Bielsko-Biała,Poland,49.8225,19.0444,Pharmacy,Institution
35,Boyer and Sons Pharmaceutical Limited,Wałcz,Poland,53.2667,16.4667,Hospital,Government
36,Rowe PLC Pharmaceutical Ltd,Kęty,Poland,49.8821,19.2233,Pharmacy,Institution
37,McCullough LLC Pharma Plc,Częstochowa,Poland,50.8,19.1167,Pharmacy,Retail
38,"Grimes, Jacobs and Durgan Pharm",Bełchatów,Poland,51.3667,19.3667,Hospital,Private
39,"Balistreri, Torp and Gulgowski Pharmacy",Chełmża,Poland,53.2,18.6,Hospital,Private
40,Will and Sons Pharmaceutical Limited,Poznań,Poland,52.4,16.9167,Hospital,Government
41,Osinski-Collins Pharmaceutical Ltd,Elbląg,Poland,54.1667,19.4,Pharmacy,Institution
42,"Parisian, Hagenes and Skiles Pharma Plc",Ciechocinek,Poland,52.8833,18.7833,Pharmacy,Retail
43,"Schmitt, Berge and Haley Pharma Plc",Kłodzko,Poland,50.4378,16.6528,Hospital,Private
44,"Funk, Ratke and Heaney Pharmacy",Prabuty,Poland,53.7558,19.1975,Hospital,Government
45,Walsh-Brown Pharmacy,Chorzów,Poland,50.3,18.95,Pharmacy,Retail
46,"Schowalter, Runolfsson and VonRueden Pharmaceutical Ltd",Grudziądz,Poland,53.4925,18.7761,Pharmacy,Retail
47,"Beahan, Littel and Ondricka Pharmacy",Łęczyca,Poland,52.0583,19.2,Pharmacy,Institution
48,Veum-Kerluke Pharmacy,Człuchów,Poland,53.65,17.3667,Pharmacy,Retail
49,Doyle-Tillman Pharmaceutical Ltd,Dęblin,Poland,51.5667,21.8614,Hospital,Private
50,Ondricka Ltd Pharmacy,Świnoujście,Poland,53.9167,14.25,Hospital,Government
51,Raynor-Graham Pharmaceutical Limited,Gorzów Wielkopolski,Poland,52.7333,15.25,Pharmacy,Institution
52,Koss-Beier,Nakło nad Notecią,Poland,53.1421,17.6018,Pharmacy,Retail
53,"Johnson, Friesen and Torphy Pharma Plc",Gryfino,Poland,53.2524,14.4883,Hospital,Government
54,Koch-Osinski Pharm,Sandomierz,Poland,50.6833,21.75,Hospital,Government
55,Schaefer LLC Pharmacy,Kamień Pomorski,Poland,53.9697,14.7858,Hospital,Government
56,Funk and Sons Pharmaceutical Limited,Tarnobrzeg,Poland,50.5833,21.6833,Pharmacy,Retail
57,Marquardt-Ryan Pharmaceutical Ltd,Węgorzewo,Poland,54.2167,21.75,Hospital,Private
58,"Romaguera, Moen and Hagenes Pharmaceutical Limited",Sopot,Poland,54.4419,18.5478,Hospital,Private
59,Hartmann-Wolf,Trzebnica,Poland,51.305,17.0614,Hospital,Government
