date_id,full_date,month_name,month_num,quarter,year
1,2018-01-01,January,1,1,2018
2,2018-02-01,February,2,1,2018
3,2018-03-01,March,3,1,2018
4,2018-04-01,April,4,2,2018
5,2018-05-01,May,5,2,2018
6,2018-06-01,June,6,2,2018
7,2018-07-01,July,7,3,2018
8,2018-08-01,August,8,3,2018
9,2018-09-01,September,9,3,2018
10,2018-10-01,October,10,4,2018
11,2018-11-01,November,11,4,2018
12,2018-12-01,December,12,4,2018
13,2017-01-01,January,1,1,2017
14,2017-02-01,February,2,1,2017
15,2017-03-01,March,3,1,2017
16,2017-04-01,April,4,2,2017
17,2017-05-01,May,5,2,2017
18,2017-06-01,June,6,2,2017
19,2017-07-01,July,7,3,2017
20,2017-08-01,August,8,3,2017
21,2017-09-01,September,9,3,2017
22,2017-10-01,October,10,4,2017
23,2017-11-01,November,11,4,2017
24,2017-12-01,December,12,4,2017
25,2019-01-01,January,1,1,2019
26,2019-02-01,February,2,1,2019
27,2019-03-01,March,3,1,2019
28,2019-04-01,April,4,2,2019
29,2019-05-01,May,5,2,2019
30,2019-06-01,June,6,2,2019
31,2019-07-01,July,7,3,2019
32,2019-08-01,August,8,3,2019
33,2019-09-01,September,9,3,2019
34,2019-10-01,October,10,4,2019
35,2019-11-01,November,11,4,2019
36,2019-12-01,December,12,4,2019
37,2020-01-01,January,1,1,2020
38,2020-02-01,February,2,1,2020
39,2020-03-01,March,3,1,2020
40,2020-04-01,April,4,2,2020
41,2020-05-01,May,5,2,2020
42,2020-06-01,June,6,2,2020
43,2020-07-01,July,7,3,2020
44,2020-08-01,August,8,3,2020
45,2020-09-01,September,9,3,2020
46,2020-10-01,October,10,4,2020
47,2020-11-01,November,11,4,2020
48,2020-12-01,December,12,4,2020
